"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FI","Without Sequence","38.37","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FI","Without Sequence","28.46","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FI","Without Sequence","26.66","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FI","Without Sequence","24.48","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FI","Without Sequence","24.01","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FI","Without Sequence","21.23","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FI","Without Sequence","22.62","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FI","Without Sequence","25.04","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FI","Without Sequence","26.24","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FI","Without Sequence","32.21","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FI","Without Sequence","41.34","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FI","Without Sequence","43.51","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FI","Without Sequence","58.64","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FI","Without Sequence","61.14","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FI","Without Sequence","60.34","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FI","Without Sequence","77.56","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FI","Without Sequence","68.40","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FI","Without Sequence","74.16","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FI","Without Sequence","65.01","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FI","Without Sequence","55.91","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FI","Without Sequence","48.15","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FI","Without Sequence","64.94","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FI","Without Sequence","53.60","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FI","Without Sequence","43.99","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|FI","Without Sequence","55.50","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|FI","Without Sequence","49.94","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|FI","Without Sequence","47.26","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|FI","Without Sequence","53.50","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|FI","Without Sequence","76.48","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|FI","Without Sequence","180.05","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|FI","Without Sequence","250.01","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|FI","Without Sequence","483.08","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|FI","Without Sequence","300.07","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|FI","Without Sequence","250.01","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|FI","Without Sequence","241.94","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|FI","Without Sequence","159.47","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|FI","Without Sequence","149.99","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|FI","Without Sequence","149.99","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|FI","Without Sequence","165.80","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|FI","Without Sequence","250.02","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|FI","Without Sequence","226.21","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|FI","Without Sequence","196.90","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|FI","Without Sequence","250.01","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|FI","Without Sequence","196.91","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|FI","Without Sequence","105.70","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|FI","Without Sequence","149.52","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|FI","Without Sequence","90.38","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|FI","Without Sequence","86.69","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|FI","Without Sequence","49.08","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|FI","Without Sequence","56.76","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|FI","Without Sequence","56.11","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|FI","Without Sequence","57.96","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|FI","Without Sequence","70.17","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|FI","Without Sequence","86.70","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|FI","Without Sequence","118.79","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|FI","Without Sequence","131.51","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|FI","Without Sequence","132.95","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|FI","Without Sequence","128.81","",""
