"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|FI","Without Sequence","24.95","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|FI","Without Sequence","24.35","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|FI","Without Sequence","23.98","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|FI","Without Sequence","23.72","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|FI","Without Sequence","23.73","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|FI","Without Sequence","24.06","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|FI","Without Sequence","24.44","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|FI","Without Sequence","24.93","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|FI","Without Sequence","24.90","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|FI","Without Sequence","25.07","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|FI","Without Sequence","25.63","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|FI","Without Sequence","25.92","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|FI","Without Sequence","26.13","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|FI","Without Sequence","26.57","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|FI","Without Sequence","27.30","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|FI","Without Sequence","28.61","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|FI","Without Sequence","30.25","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|FI","Without Sequence","30.19","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|FI","Without Sequence","28.82","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|FI","Without Sequence","28.25","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|FI","Without Sequence","27.32","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|FI","Without Sequence","28.25","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|FI","Without Sequence","27.01","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|FI","Without Sequence","25.64","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|FI","Without Sequence","25.59","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|FI","Without Sequence","24.91","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|FI","Without Sequence","24.74","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|FI","Without Sequence","24.66","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|FI","Without Sequence","24.72","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|FI","Without Sequence","24.92","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|FI","Without Sequence","25.62","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|FI","Without Sequence","26.19","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|FI","Without Sequence","28.02","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|FI","Without Sequence","27.65","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|FI","Without Sequence","28.83","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|FI","Without Sequence","29.76","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|FI","Without Sequence","28.62","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|FI","Without Sequence","28.72","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|FI","Without Sequence","36.73","",""
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|FI","Without Sequence","46.05","",""
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|FI","Without Sequence","58.88","",""
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|FI","Without Sequence","60.51","",""
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|FI","Without Sequence","59.84","",""
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|FI","Without Sequence","40.15","",""
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|FI","Without Sequence","27.38","",""
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|FI","Without Sequence","31.15","",""
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|FI","Without Sequence","27.91","",""
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|FI","Without Sequence","25.94","",""
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|FI","Without Sequence","25.27","",""
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|FI","Without Sequence","24.59","",""
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|FI","Without Sequence","23.86","",""
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|FI","Without Sequence","23.57","",""
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|FI","Without Sequence","23.49","",""
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|FI","Without Sequence","23.85","",""
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|FI","Without Sequence","24.05","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|FI","Without Sequence","24.80","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|FI","Without Sequence","24.97","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|FI","Without Sequence","25.65","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|FI","Without Sequence","26.00","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|FI","Without Sequence","26.07","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|FI","Without Sequence","25.87","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|FI","Without Sequence","25.83","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|FI","Without Sequence","26.02","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|FI","Without Sequence","26.50","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|FI","Without Sequence","28.05","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|FI","Without Sequence","28.53","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|FI","Without Sequence","28.17","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|FI","Without Sequence","27.92","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|FI","Without Sequence","27.56","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|FI","Without Sequence","28.12","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|FI","Without Sequence","26.18","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|FI","Without Sequence","24.92","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|FI","Without Sequence","24.66","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|FI","Without Sequence","24.05","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|FI","Without Sequence","23.88","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|FI","Without Sequence","24.03","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|FI","Without Sequence","24.58","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|FI","Without Sequence","25.84","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|FI","Without Sequence","28.21","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|FI","Without Sequence","49.76","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|FI","Without Sequence","54.42","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|FI","Without Sequence","50.72","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|FI","Without Sequence","55.40","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|FI","Without Sequence","56.53","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|FI","Without Sequence","52.07","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|FI","Without Sequence","56.53","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|FI","Without Sequence","57.99","",""
