"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|FI","Without Sequence","46.60","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|FI","Without Sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|FI","Without Sequence","42.18","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|FI","Without Sequence","44.37","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|FI","Without Sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|FI","Without Sequence","39.70","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|FI","Without Sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|FI","Without Sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|FI","Without Sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|FI","Without Sequence","65.48","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|FI","Without Sequence","76.53","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|FI","Without Sequence","83.63","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|FI","Without Sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|FI","Without Sequence","94.02","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|FI","Without Sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|FI","Without Sequence","101.27","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|FI","Without Sequence","126.60","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|FI","Without Sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|FI","Without Sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|FI","Without Sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|FI","Without Sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|FI","Without Sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|FI","Without Sequence","97.46","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|FI","Without Sequence","85.16","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|FI","Without Sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|FI","Without Sequence","55.09","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|FI","Without Sequence","52.82","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|FI","Without Sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|FI","Without Sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|FI","Without Sequence","53.01","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|FI","Without Sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|FI","Without Sequence","41.80","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|FI","Without Sequence","48.95","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|FI","Without Sequence","60.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|FI","Without Sequence","70.09","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|FI","Without Sequence","66.26","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|FI","Without Sequence","64.54","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|FI","Without Sequence","46.96","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|FI","Without Sequence","65.19","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|FI","Without Sequence","74.99","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|FI","Without Sequence","88.15","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|FI","Without Sequence","95.40","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|FI","Without Sequence","86.71","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|FI","Without Sequence","71.27","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|FI","Without Sequence","54.12","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|FI","Without Sequence","46.16","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|FI","Without Sequence","46.29","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|FI","Without Sequence","32.93","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|FI","Without Sequence","20.89","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|FI","Without Sequence","19.92","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|FI","Without Sequence","19.87","",""
