"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|FI","Without Sequence","26.33","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|FI","Without Sequence","26.43","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|FI","Without Sequence","26.10","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|FI","Without Sequence","24.70","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|FI","Without Sequence","24.74","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|FI","Without Sequence","18.01","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|FI","Without Sequence","17.78","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|FI","Without Sequence","17.80","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|FI","Without Sequence","19.76","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|FI","Without Sequence","20.73","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|FI","Without Sequence","24.76","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|FI","Without Sequence","25.68","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|FI","Without Sequence","24.09","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|FI","Without Sequence","25.01","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|FI","Without Sequence","25.81","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|FI","Without Sequence","26.46","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|FI","Without Sequence","27.03","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|FI","Without Sequence","27.43","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|FI","Without Sequence","27.29","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|FI","Without Sequence","26.96","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|FI","Without Sequence","26.70","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|FI","Without Sequence","26.47","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|FI","Without Sequence","26.09","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|FI","Without Sequence","24.88","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|FI","Without Sequence","25.28","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|FI","Without Sequence","23.16","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|FI","Without Sequence","24.78","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|FI","Without Sequence","25.03","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|FI","Without Sequence","25.73","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|FI","Without Sequence","26.84","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|FI","Without Sequence","27.80","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|FI","Without Sequence","30.50","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|FI","Without Sequence","31.93","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|FI","Without Sequence","33.53","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|FI","Without Sequence","35.04","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|FI","Without Sequence","35.22","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|FI","Without Sequence","34.56","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|FI","Without Sequence","34.10","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|FI","Without Sequence","35.98","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|FI","Without Sequence","38.05","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|FI","Without Sequence","41.67","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|FI","Without Sequence","42.39","",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|FI","Without Sequence","37.79","",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|FI","Without Sequence","33.70","",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|FI","Without Sequence","30.88","",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|FI","Without Sequence","28.85","",""
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|FI","Without Sequence","27.99","",""
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|FI","Without Sequence","27.60","",""
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|FI","Without Sequence","27.12","",""
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|FI","Without Sequence","26.61","",""
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|FI","Without Sequence","26.26","",""
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|FI","Without Sequence","26.23","",""
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|FI","Without Sequence","26.42","",""
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|FI","Without Sequence","27.47","",""
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|FI","Without Sequence","28.31","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|FI","Without Sequence","28.95","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|FI","Without Sequence","29.20","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|FI","Without Sequence","29.28","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|FI","Without Sequence","29.42","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|FI","Without Sequence","29.25","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|FI","Without Sequence","29.23","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|FI","Without Sequence","29.49","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|FI","Without Sequence","29.86","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|FI","Without Sequence","30.51","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|FI","Without Sequence","31.33","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|FI","Without Sequence","31.59","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|FI","Without Sequence","30.78","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|FI","Without Sequence","30.15","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|FI","Without Sequence","29.37","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|FI","Without Sequence","28.93","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|FI","Without Sequence","28.13","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|FI","Without Sequence","27.31","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|FI","Without Sequence","27.05","",""
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|FI","Without Sequence","26.78","",""
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|FI","Without Sequence","26.47","",""
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|FI","Without Sequence","26.49","",""
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|FI","Without Sequence","26.60","",""
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|FI","Without Sequence","27.01","",""
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|FI","Without Sequence","28.04","",""
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|FI","Without Sequence","30.43","",""
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|FI","Without Sequence","32.83","",""
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|FI","Without Sequence","34.97","",""
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|FI","Without Sequence","37.55","",""
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|FI","Without Sequence","36.02","",""
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|FI","Without Sequence","35.53","",""
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|FI","Without Sequence","35.30","",""
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|FI","Without Sequence","35.83","",""
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|FI","Without Sequence","37.83","",""
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|FI","Without Sequence","39.03","",""
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|FI","Without Sequence","37.91","",""
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|FI","Without Sequence","35.03","",""
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|FI","Without Sequence","31.87","",""
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|FI","Without Sequence","30.78","",""
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|FI","Without Sequence","30.27","",""
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|FI","Without Sequence","29.63","",""
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|FI","Without Sequence","28.05","",""
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|FI","Without Sequence","27.38","",""
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|FI","Without Sequence","26.93","",""
"05/01/2018 02:00:00 - 05/01/2018 03:00:00","BZN|FI","Without Sequence","26.50","",""
"05/01/2018 03:00:00 - 05/01/2018 04:00:00","BZN|FI","Without Sequence","26.50","",""
"05/01/2018 04:00:00 - 05/01/2018 05:00:00","BZN|FI","Without Sequence","26.88","",""
"05/01/2018 05:00:00 - 05/01/2018 06:00:00","BZN|FI","Without Sequence","27.66","",""
"05/01/2018 06:00:00 - 05/01/2018 07:00:00","BZN|FI","Without Sequence","28.65","",""
"05/01/2018 07:00:00 - 05/01/2018 08:00:00","BZN|FI","Without Sequence","30.44","",""
"05/01/2018 08:00:00 - 05/01/2018 09:00:00","BZN|FI","Without Sequence","32.53","",""
"05/01/2018 09:00:00 - 05/01/2018 10:00:00","BZN|FI","Without Sequence","33.52","",""
"05/01/2018 10:00:00 - 05/01/2018 11:00:00","BZN|FI","Without Sequence","33.31","",""
"05/01/2018 11:00:00 - 05/01/2018 12:00:00","BZN|FI","Without Sequence","32.98","",""
"05/01/2018 12:00:00 - 05/01/2018 13:00:00","BZN|FI","Without Sequence","32.88","",""
"05/01/2018 13:00:00 - 05/01/2018 14:00:00","BZN|FI","Without Sequence","32.84","",""
"05/01/2018 14:00:00 - 05/01/2018 15:00:00","BZN|FI","Without Sequence","32.87","",""
"05/01/2018 15:00:00 - 05/01/2018 16:00:00","BZN|FI","Without Sequence","33.50","",""
"05/01/2018 16:00:00 - 05/01/2018 17:00:00","BZN|FI","Without Sequence","35.10","",""
"05/01/2018 17:00:00 - 05/01/2018 18:00:00","BZN|FI","Without Sequence","37.30","",""
"05/01/2018 18:00:00 - 05/01/2018 19:00:00","BZN|FI","Without Sequence","34.00","",""
